scholarship_id,scholarship_name,scope_type,provider,category,country,academic_year,source,source_url,verification_status,notes
SCH001,PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),Central,Department of Higher Education,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH002,PM-USP Special Scholarship Scheme for Jammu Kashmir and Ladakh,Central,Department of Higher Education,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH003,National Scholarship for Post Graduate Studies,Central,UGC,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH004,Ishan Uday Special Scholarship Scheme for North Eastern Region,Central,UGC,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH005,PG Indira Gandhi Scholarship for Single Girl Child,Central,UGC,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH006,PG Scholarship for University Rank Holders,Central,UGC,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH007,AICTE Pragati Scholarship for Girl Students - Technical Degree,Central,AICTE,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH008,AICTE Pragati Scholarship for Girl Students - Technical Diploma,Central,AICTE,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH009,AICTE Saksham Scholarship for Specially Abled Students - Technical Degree,Central,AICTE,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH010,AICTE Saksham Scholarship for Specially Abled Students - Technical Diploma,Central,AICTE,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
